activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,approved
2023,5493004N9PMBSLEZOF16,19124,TX,48085.0,48085030206.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,9,2,1,1,1,2,2,2,575000,89.997,6.875,0.678,2,16993.89,,11743.88,10143.88,,360,,,2,2,2,2,645000,1,1,3,5,1,,205.0,49,7,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,4565,37.06,105600,148.63,956,1064,8,1
2023,5493004N9PMBSLEZOF16,25940,SC,45013.0,45013002107.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,205000,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,105.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,10963,49.73,103300,94.14,1952,2761,17,0
2023,5493004N9PMBSLEZOF16,35614,NJ,34003.0,34003059200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,0,2,1,1,1,2,2,2,715000,79.999,,,3,,,,,,360,,,2,2,2,2,895000,1,1,3,5,1,,151.0,50%-60%,7,10,2.0,,,,,5.0,,,,,2,4,2.0,25.0,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,3,1.0,,,6060,24.46,99300,166.0,1628,1946,67,0
2023,254900P6952HH7CVAC87,16300,IA,19105.0,19105070600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,1,1,1111,1111,1111,135000,Exempt,Exempt,Exempt,2,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,55.0,Exempt,1111,1111,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1111,1111,1111,,,,,1111,,,,4436,7.08,96300,86.0,1343,1862,57,1
2023,5493008YRTIU0FNCTY07,99999,,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,8,0,1,1,1,1,2,2,2,195000,100.0,6.625,,3,,,,,,360,0,,2,2,2,2,195000,1,1,3,5,1,,62.0,37,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,<25,9999,No,,1,1,6,,,,,10,,,,0,0.0,0,0.0,0,0,0,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183054116.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,1,0,2,1,2,2,2,1,2,55000,75.962,4.5,-2.86,2,,,,,,,,2,2,2,2,2,355000,1,1,3,5,1,,101.0,37,3,10,2.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,6623,70.22,117000,67.72,1526,2037,17,1
2023,549300SHE1JTCOWBP090,49180,NC,37067.0,37067003201.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,4,1,2,1,2,65000,31.579,,,3,,,,,,,,3,2,2,2,2,195000,1,1,3,5,1,,138.0,<20%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,3,,,,4937,24.95,81300,134.78,1352,1806,42,0
2023,549300SHE1JTCOWBP090,47260,NC,37053.0,37053110301.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,85000,84.857,,,3,,,,,,,,2,2,2,2,2,425000,1,1,3,5,1,,149.0,37,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,3,,,,4721,13.98,99800,117.31,1566,2027,21,0
2023,549300SHE1JTCOWBP090,99999,NC,37167.0,37167930300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,1,2,125000,20.833,,,3,,,,,,,,1,2,2,2,2,605000,1,1,3,5,1,,44.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,1,1,6,,,,,1,,,,3917,20.81,70400,135.86,989,1544,49,0
2023,549300SHE1JTCOWBP090,39580,NC,37069.0,37069060502.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,3,0,2,1,4,2,2,1,2,55000,98.032,,,3,,,,,,,,1,2,2,2,2,305000,1,1,3,5,1,,65.0,42,3,10,1.0,14.0,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,3,4.0,,,9754,27.45,117000,96.78,2852,3582,20,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183052807.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,205000,74.699,,,3,,,,,,,,3,2,2,2,2,455000,1,1,3,5,1,,53.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,1,,,,6737,69.51,117000,67.24,1709,2392,17,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183054402.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,2,2,2,1,2,35000,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,42.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,8201,42.51,117000,89.37,2024,2728,25,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183053423.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,2,2,1,2,105000,60.928,5.0,-2.54,2,,,,,,,,3,2,2,2,2,365000,1,1,3,5,1,,68.0,41,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,10,,,,2172,27.53,117000,111.33,636,707,29,1
2023,549300SHE1JTCOWBP090,99999,NC,37045.0,37045950301.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,2,2,2,1,2,35000,,,,3,,,,,,,,3,2,2,2,2,,1,1,3,5,1,,96.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,4841,31.01,70400,89.71,1204,1988,35,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183052810.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Joint,1,0,2,1,1,2,2,1,2,95000,83.375,5.0,-2.82,2,,,,,,,,2,2,2,2,2,375000,1,1,3,5,1,,122.0,45,3,3,1.0,,,,,2.0,,,,,2,2,5.0,,,,,3.0,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,8391,85.41,117000,71.01,1867,2645,16,1
2023,549300SHE1JTCOWBP090,16740,NC,37071.0,37071031204.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,1,2,105000,44.701,5.0,-2.82,2,,,,,,,,2,2,2,2,2,225000,1,1,3,5,1,,75.0,20%-<30%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,1596,25.38,98700,93.67,325,755,52,1
2023,549300SHE1JTCOWBP090,99999,NC,37045.0,37045950101.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,15000,81.884,7.25,-0.75,2,,,,,,,,3,2,2,2,2,425000,1,1,3,5,1,,150.0,42,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,5060,6.21,70400,77.55,1319,2365,36,1
2023,549300SHE1JTCOWBP090,24660,NC,37151.0,37151030201.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,55000,123.516,,,3,,,,,,,,1,2,2,2,2,155000,1,1,3,5,1,,60.0,30%-<36%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,3,4.0,,,3234,36.86,81500,78.32,810,1417,59,0
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183053902.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,35000,57.451,7.25,-0.79,2,,,,,,,,2,2,2,2,2,605000,1,1,3,5,1,,179.0,40,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,6091,18.34,117000,166.44,2115,2204,18,1
2023,549300SHE1JTCOWBP090,99999,NC,37193.0,37193960700.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,155000,85.714,7.25,-0.83,2,,,,,,,,2,2,2,2,2,175000,1,1,3,5,1,,117.0,<20%,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,3590,22.98,70400,78.39,999,1615,48,1
2023,549300SHE1JTCOWBP090,39580,NC,37183.0,37183053113.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,1,2,1,2,75000,19.958,7.25,-0.96,2,,,,,,,,1,2,2,2,2,375000,1,1,3,5,1,,51.0,>60%,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,2,2,2,35-44,65-74,No,Yes,1,1,6,,,,,10,,,,5592,36.3,117000,84.74,923,1471,22,1
2023,549300SHE1JTCOWBP090,24660,NC,37081.0,37081012803.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,2,2,1,2,105000,88.047,,,3,,,,,,,,1,2,2,2,2,305000,1,1,3,5,1,,76.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,1,,,,9306,81.87,81500,96.12,2287,3272,38,0
2023,549300SHE1JTCOWBP090,11700,NC,37021.0,37021003002.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,2,2,1,1,45000,64.983,7.25,,3,,,,,,,,1,2,2,2,2,405000,1,3,3,5,1,,162.0,30%-<36%,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,7296,19.54,87600,73.72,2106,3333,40,1
2023,549300SHE1JTCOWBP090,15500,NC,37001.0,37001021703.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,125000,83.174,7.25,-0.94,2,,,,,,,,1,2,2,2,2,485000,1,1,3,5,1,,149.0,39,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,7974,37.87,78800,150.77,1321,1705,16,1
2023,549300SHE1JTCOWBP090,34820,NC,37019.0,37019020505.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,4,2,2,1,2,55000,,,,3,,,,,,,,2,2,2,2,2,,1,1,3,5,1,,47.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,3917,36.23,79000,86.93,1131,1859,30,0
2023,549300SHE1JTCOWBP090,99999,NC,37193.0,37193961201.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,2,2,1,2,75000,34.397,7.75,-0.47,2,,,,,,,,2,2,2,2,2,755000,1,1,3,5,1,,49.0,>60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,3567,7.51,70400,125.57,1455,1952,38,1
2023,549300SHE1JTCOWBP090,99999,NC,37163.0,37163970102.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,25000,78.632,,,3,,,,,,,,3,2,2,2,2,195000,1,1,3,5,1,,35.0,50%-60%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,6,,,,,1,3.0,,,4555,53.92,70400,86.97,1173,2065,37,0
2023,549300SHE1JTCOWBP090,99999,NC,37163.0,37163970401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,4,1,2,1,2,15000,,,,3,,,,,,,,2,2,2,2,2,,1,1,3,5,1,,130.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,1833,20.46,70400,131.02,561,824,35,0
2023,549300SHE1JTCOWBP090,24780,NC,37147.0,37147001402.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,1,1,2,2,2,235000,100.865,3.15,-1.713,2,4442.15,,2332.0,,,360,,60,2,2,2,2,235000,1,1,3,5,1,,96.0,36,3,3,2.0,,,,,3.0,,,,,2,2,3.0,,,,,6.0,,,,,2,2,1,3,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,2530,44.66,77600,98.47,810,1193,37,1
2023,549300SHE1JTCOWBP090,24780,NC,37147.0,37147000304.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,0,2,1,1,1,2,2,2,395000,100.506,5.4,-1.19,2,4794.83,,2500.0,,,360,,60,2,2,2,2,395000,1,1,3,5,1,,92.0,36,1,10,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,6,,,,,10,,,,5083,27.37,77600,119.82,1248,1948,32,1
2023,549300SHE1JTCOWBP090,99999,NC,37171.0,37171930501.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,0,2,1,1,1,2,2,2,115000,,5.4,,2,3219.2,,1120.0,,,360,,60,2,2,2,2,115000,1,1,3,5,1,,44.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,3,3,6,,,,,10,,,,2771,17.07,70400,77.34,1041,1439,42,0
2023,549300SHE1JTCOWBP090,16740,NC,37097.0,37097060400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,2,105000,89.565,5.7,-0.809,3,2754.55,,1030.0,,,360,,60,2,2,2,2,115000,1,2,3,5,1,,192.0,40,1,1,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,4042,63.01,98700,60.28,863,1813,56,1
2023,549300SHE1JTCOWBP090,16740,NC,37119.0,37119006011.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,31,1,2,2,2,295000,86.471,5.2,-1.247,2,3687.5,,3000.0,,,360,,60,2,2,2,2,345000,1,1,3,5,1,,124.0,37,2,3,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,3535,82.83,98700,72.85,678,859,41,1
2023,549300SHE1JTCOWBP090,16740,NC,37097.0,37097060802.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,155000,90.0,5.175,-0.337,2,3772.84,,1575.0,,,120,,,2,2,2,2,175000,1,1,3,5,1,,231.0,<20%,3,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,6,,,,,10,,,,3609,24.74,98700,79.82,977,1530,37,1
2023,549300SHE1JTCOWBP090,25860,NC,37027.0,37027031403.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,31,1,2,2,2,245000,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,62.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,2337,19.98,71400,47.35,561,1021,44,0
2023,549300SHE1JTCOWBP090,99999,NC,37161.0,37161960203.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,155000,55.556,5.0,-1.258,2,3429.0,,1500.0,,,360,,60,2,2,2,2,275000,1,1,3,5,1,,27.0,46,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,1330,13.01,70400,99.38,484,630,27,1
2023,549300SHE1JTCOWBP090,99999,NC,37039.0,37039930200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,175000,101.176,5.4,-0.538,2,4270.2,,1720.0,,,360,,60,2,2,2,2,175000,1,1,3,5,1,,61.0,30%-<36%,1,2,2.0,,,,,3.0,,,,,2,2,5.0,,,,,6.0,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,6,,,,,10,,,,2232,10.62,70400,72.21,845,1318,33,1
2023,549300SHE1JTCOWBP090,99999,NC,37143.0,37143920102.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,31,1,2,2,2,245000,62.176,5.0,-1.875,2,3567.5,,2900.0,,,360,,60,2,2,2,2,385000,1,1,3,5,1,,90.0,47,1,2,2.0,,,,,2.0,,,,,1,1,3.0,,,,,3.0,,,,,1,1,1,2,1,1,65-74,55-64,Yes,Yes,1,1,6,,,,,10,,,,3122,23.67,70400,89.37,1115,1604,22,1
2023,549300SHE1JTCOWBP090,99999,NC,37107.0,37107011001.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,4,1,2,2,1,95000,,,,3,,,,,,240,,,2,2,2,2,,1,3,3,5,1,,60.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,4435,39.14,70400,105.67,1269,1973,37,0
2023,549300SHE1JTCOWBP090,24660,NC,37151.0,37151031401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,1,1,2,2,2,255000,100.8,5.65,-1.135,2,4511.58,,2500.0,,,360,,60,2,2,2,2,255000,1,1,3,5,1,,77.0,30%-<36%,1,2,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,1,2,2,<25,<25,No,No,1,1,6,,,,,10,,,,5434,22.58,81500,107.95,1182,1855,50,1
2023,549300SHE1JTCOWBP090,34820,NC,37019.0,37019020205.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,325000,100.0,5.4,-1.165,2,4714.42,,2500.0,,,360,,60,2,2,2,2,325000,1,1,3,5,1,,106.0,30%-<36%,1,1,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,8409,13.68,79000,147.3,2718,3362,12,1
2023,549300SHE1JTCOWBP090,99999,NC,37015.0,37015960402.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,31,1,2,2,2,85000,90.0,,,3,,,,,,180,,60,2,2,2,2,95000,2,1,1,1,1,,26.0,50%-60%,2,3,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,2,2,2,45-54,65-74,No,Yes,1,1,6,,,,,1,,,,4163,75.28,70400,48.25,674,1755,35,0
2023,549300SHE1JTCOWBP090,20500,NC,37063.0,37063001709.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,2 or more minority races,Male,3,0,2,1,1,1,2,2,1,25000,8.0,,,3,,,,,,120,,,2,2,2,2,255000,1,3,3,5,1,,704.0,<20%,2,10,3.0,,,,,5.0,,,,,2,4,1.0,3.0,4.0,44.0,,8.0,,,,,2,4,1,5,2,4,<25,9999,No,,1,1,6,,,,,4,6.0,3.0,,8149,89.58,108500,45.42,672,1573,26,0
2023,549300SHE1JTCOWBP090,99999,NC,37123.0,37123960202.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,2,2,55000,53.763,6.575,0.008,2,1667.5,,1000.0,,,240,,,2,2,2,2,95000,1,1,3,5,1,,15.0,36,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,4420,35.95,70400,100.12,1199,2437,49,1
2023,549300SHE1JTCOWBP090,99999,NC,37047.0,37047930300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,365000,90.0,6.825,-0.986,3,3975.2,,2500.0,,,360,,60,2,2,2,2,405000,1,2,3,5,1,,174.0,40,1,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,2332,33.4,70400,111.06,757,1449,38,1
2023,549300SHE1JTCOWBP090,24660,NC,37081.0,37081012804.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,1,1,2,2,2,245000,103.156,,,3,,,,,,360,,60,2,2,2,2,235000,1,1,3,5,1,,76.0,37,1,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,9,,,,4299,92.58,81500,48.81,828,1665,36,0
2023,549300SHE1JTCOWBP090,99999,NC,37155.0,37155960702.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,31,1,2,2,2,25000,20.0,,,3,,,,,,360,,,2,2,2,2,105000,1,1,3,5,1,,49.0,50%-60%,2,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,3,1.0,9.0,,2617,76.16,70400,63.92,807,1278,29,0
2023,549300SHE1JTCOWBP090,48900,NC,37129.0,37129011200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,31,1,2,2,2,175000,80.0,,,3,,,,,,360,,,2,2,2,2,215000,1,1,3,5,1,,25.0,>60%,1,10,2.0,,,,,5.0,,,,,1,4,3.0,,,,,8.0,,,,,1,4,1,5,1,4,55-64,9999,Yes,,1,1,6,,,,,1,,,,2098,42.95,99600,87.89,571,1295,0,0
2023,549300REENMLD2RN3W58,31140,KY,21029.0,21029021104.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,3,1,1,2,2,2,205000,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,41.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,65-74,9999,Yes,,2,2,2,,,,,10,,,,4625,9.95,89300,84.71,1480,1809,22,0
2023,549300REENMLD2RN3W58,99999,MS,28087.0,28087000403.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,32,1,2,2,2,115000,70.0,7.625,1.133,2,4979.13,,3090.13,748.13,390.6,360,,,2,2,2,2,175000,1,1,3,5,1,,64.0,36,3,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,35-44,9999,No,,2,2,1,,,,,10,,,,4205,60.24,64200,121.52,1451,2180,33,1
