activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,approved
2023,549300FGXN1K3HLB1R50,19140,GA,13213.0,13213010204.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,32,1,2,2,2,205000,76.23,6.99,0.883,2,8818.63,,3047.68,1027.68,,360,,,2,2,2,2,265000,1,1,3,5,1,,109.0,37,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,3,,,,,10,,,,5598,23.51,71500,100.28,1140,1742,22,1
2023,549300S5YL3OH0IVCS62,17820,CO,8041.0,8041003911.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,31,1,1,1,2,355000,,7.360,,3,,,,,,,,1,2,2,2,2,755000,1,1,3,5,1,,25.0,,9,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,>74,9999,Yes,,1,1,6,,,,,10,,,,4423,17.61,105000,104.95,1164,1441,27,1
2023,549300S5YL3OH0IVCS62,47220,NJ,34011.0,34011010702.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,2,2,31,1,1,1,2,75000,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,27.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3434,29.53,76100,130.22,1058,1465,42,0
2023,254900LKAJBFGO0IIP75,13140,TX,48245.0,48245011001.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,71,2,1,1,1,2,2,2,175000,90.0,6.375,0.408,2,5775.46,,3315.0,,15.25,360,,,2,2,2,2,195000,1,1,3,5,1,,107.0,<20%,2,10,1.0,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,<25,9999,No,,1,1,1,,,,,10,,,,5429,37.48,87800,145.0,1179,2093,54,1
2023,254900LKAJBFGO0IIP75,99999,KY,21193.0,21193970400.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,9,2,2,1,1,2,2,2,155000,102.952,7.75,1.115,2,8628.36,,3927.72,,250.0,360,,,2,2,2,2,155000,1,1,3,5,1,,114.0,37,2,9,1.0,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,55-64,55-64,No,No,1,1,1,,,,,10,,,,4425,6.85,64900,89.38,1242,1776,33,1
2023,549300B190GPYLAX3Y92,26420,TX,48157.0,48157671501.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,1111,1111,1111,205000,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,3,1111,1111,1,Exempt,,Exempt,1111,1111,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,4,5,3,4,8888,9999,,,1111,1111,1111,,,,,10,,,,7923,77.7,94100,138.26,1779,2351,24,1
2023,549300FGXN1K3HLB1R50,16984,IL,17197.0,17197883305.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,5,2,1,32,2,2,2,2,75000,75,10.25,4.04,2,2065.95,,795,,,240,,,2,2,2,2,325000,1,1,3,5,1,,128.0,38,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,3045,11.63,109800,111.8,995,1167,41,1
2023,549300FGXN1K3HLB1R50,99999,VT,50025.0,50025967900.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,5,2,1,32,2,2,2,2,95000,50,8.875,2.554,3,2671.95,,795,,,240,,,2,2,2,2,505000,1,2,3,5,1,,251.0,30%-<36%,1,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,2,1,2,2,55-64,55-64,No,No,1,1,6,,,,,10,,,,1798,7.73,94700,0.0,346,2591,36,1
2023,549300FGXN1K3HLB1R50,10900,NJ,34041.0,34041031200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,165000,94.99,7.875,1.331,2,6292.93,,2375.43,1250.43,,360,,,2,2,2,2,175000,1,1,3,5,1,,136.0,20%-<30%,1,10,1.0,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,2,,,,,10,,,,7399,13.69,99500,134.92,2491,3288,49,1
2023,549300FGXN1K3HLB1R50,47664,MI,26099.0,26099258400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,3,1,1,1,1,2,2,2,115000,95,6.625,0.968,2,4812.39,,2902.94,1867.94,,360,,,2,2,2,2,125000,1,1,3,5,1,,37.0,40,1,10,1.0,12.0,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5358,53.32,108200,48.35,1027,1919,66,1
